estate,division,field_no,age_months,sd_vp,hect,crop,yph,code
Robgill,Singarawatte,RP6,49.0,VP,4.0,5348.0,1337.0,SG
Robgill,Singarawatte,RP5,52.0,VP,5.85,7546.499999999999,1290.0,SG
Robgill,Robgill,5A,12.0,SD,5.39,2738.12,508.0,RG
Robgill,Robgill,2A,17.0,SD,2.57,2698.5,1050.0,RG
Robgill,Robgill,5B,21.0,SD,4.21,4466.81,1061.0,RG
Robgill,Robgill,6A,27.0,SD,5.59,6255.21,1119.0,RG
Robgill,Robgill,6B,56.0,SD,7.15,6864.0,960.0,RG
Robgill,Robgill,RP1,4.0,VP,4.85,2686.8999999999996,554.0,RG
Robgill,Robgill,RP12,4.0,VP,0.5,402.0,804.0,RG
Robgill,Robgill,RP7,4.0,VP,1.25,677.5,542.0,RG
Robgill,Robgill,RP2,5.0,VP,3.94,1757.24,446.0,RG
Robgill,Robgill,RP5,15.0,VP,1.0,1613.0,1613.0,RG
Robgill,Robgill,RP15,24.0,VP,1.0,1750.0,1750.0,RG
Robgill,Robgill,RP14,24.0,VP,1.0,1754.0,1754.0,RG
Robgill,Robgill,RP4,34.0,VP,4.85,7881.249999999999,1625.0,RG
Robgill,Robgill,RP10,36.0,VP,1.5,2584.5,1723.0,RG
Robgill,Robgill,RP3,38.0,VP,3.87,5797.26,1498.0,RG
Robgill,Robgill,RP9,39.0,VP,3.0,4848.0,1616.0,RG
Robgill,Robgill,RP6,49.0,VP,2.0,3306.0,1653.0,RG
Robgill,Robgill,RP8,54.0,VP,3.0,4641.0,1547.0,RG
Tillyrie,Upper,VP6,3.0,VP,5.0,2115.0,423.0,TUP
Tillyrie,Upper,10/B,5.0,VP,1.0,502.5,502.5,TUP
Tillyrie,Upper,9C1,5.0,VP,3.0,1260.0,420.0,TUP
Tillyrie,Upper,VP9C,6.0,VP,1.0,360.0,360.0,TUP
Tillyrie,Upper,VP18,6.0,VP,4.0,1368.0,342.0,TUP
Tillyrie,Upper,VP13,12.0,VP,4.0,2700.0,675.0,TUP
Tillyrie,Upper,14A,17.0,VP,4.0,4636.0,1159.0,TUP
Tillyrie,Upper,14B,27.0,VP,4.0,4784.0,1196.0,TUP
Tillyrie,Upper,VP8,28.0,VP,7.0,8085.0,1155.0,TUP
Tillyrie,Upper,VP16,36.0,VP,5.0,5135.0,1027.0,TUP
Tillyrie,Upper,VP9,40.0,VP,7.0,6573.0,939.0,TUP
Tillyrie,Upper,10A,49.0,VP,1.0,1253.0,1253.0,TUP
Tillyrie,Upper,VP5,50.0,VP,6.0,5010.0,835.0,TUP
Tillyrie,Upper,VP7,58.0,VP,6.0,5862.0,977.0,TUP
Tillyrie,Upper,VP15,62.0,VP,6.0,4092.0,682.0,TUP
Tillyrie,Lower,20,5.0,VP,3.0,2325.0,775.0,TLW
Tillyrie,Lower,21,5.0,VP,6.0,3618.0,603.0,TLW
Tillyrie,Lower,12,5.0,VP,4.0,3100.0,775.0,TLW
Tillyrie,Lower,11,5.0,VP,7.0,3759.0,537.0,TLW
Tillyrie,Lower,10A,12.0,VP,2.0,2332.0,1166.0,TLW
Tillyrie,Lower,10B,17.0,VP,4.0,2024.0,506.0,TLW
Tillyrie,Lower,4,28.0,VP,6.0,9348.0,1558.0,TLW
Tillyrie,Lower,9A,28.0,VP,3.0,4455.0,1485.0,TLW
Tillyrie,Lower,25,37.0,VP,2.5,3920.0,1568.0,TLW
Tillyrie,Lower,19,38.0,VP,4.0,6280.0,1570.0,TLW
Tillyrie,Lower,1,40.0,VP,6.0,8532.0,1422.0,TLW
Tillyrie,Lower,23,49.0,VP,2.0,2984.0,1492.0,TLW
Tillyrie,Lower,3,53.0,VP,2.0,3094.0,1547.0,TLW
Tillyrie,Lower,2,53.0,VP,7.0,9821.0,1403.0,TLW
Tillyrie,Lower,22,57.0,VP,5.0,7500.0,1500.0,TLW
Tillyrie,Lower,2B2,54.0,SD,3.0,477.0,159.0,TLW
Tillyrie,Lower,1B,58.0,SD,5.0,6615.0,1323.0,TLW
Tillyrie,Lower,3A,58.0,SD,2.0,262.0,131.0,TLW
