estate,division,field_no,age_months,sd_vp,hect,crop,yph,code
Pedro,LoversLeap,15,4,SD,6.5,949.0,146.0,LL
Pedro,LoversLeap,3,10,SD,4.0,1384.0,346.0,LL
Pedro,LoversLeap,12B,14,SD,5.26,4097.54,779.0,LL
Pedro,LoversLeap,16,35,SD,6.0,5004.0,834.0,LL
Pedro,LoversLeap,18,37,SD,7.47,6618.42,886.0,LL
Pedro,LoversLeap,15A,42,SD,6.5,5778.5,889.0,LL
Pedro,LoversLeap,3/1,50,SD,2.0,2316.0,1158.0,LL
Pedro,Nasbey,9/1,4,VP,0.5,516.0,1032.0,NB
Pedro,Nasbey,3/25,10,VP,0.58,99.17999999999999,171.0,NB
Pedro,Nasbey,10B,10,VP,0.68,108.80000000000001,160.0,NB
Pedro,Nasbey,13/1,16,VP,1.5,1170.0,780.0,NB
Pedro,Nasbey,8A,17,VP,0.8,984.8000000000001,1231.0,NB
Pedro,Nasbey,9/20,22,VP,1.0,1705.0,1705.0,NB
Pedro,Nasbey,3/25A,24,VP,0.42,1086.96,2588.0,NB
Pedro,Nasbey,1,52,VP,4.0,6588.0,1647.0,NB
Pedro,Nasbey,10A,53,VP,1.18,2138.16,1812.0,NB
Pedro,Nasbey,1A,83,VP,2.0,3836.0,1918.0,NB
Pedro,Nasbey,13,4,SD,5.5,1804.0,328.0,NB
Pedro,Nasbey,3/1,4,SD,6.4,556.8000000000001,87.0,NB
Pedro,Nasbey,9,17,SD,3.5,2926.0,836.0,NB
Pedro,Nasbey,2A,29,SD,5.25,4446.75,847.0,NB
Pedro,Nasbey,11,38,SD,4.0,3456.0,864.0,NB
Pedro,Nasbey,2,46,SD,5.0,4920.0,984.0,NB
Pedro,Nasbey,10,61,SD,2.25,2619.0,1164.0,NB
Pedro,Nasbey,8B,62,SD,4.25,3302.25,777.0,NB
Pedro,MoonPlains,7B,4,VP,0.5,989.0,1978.0,MP
Pedro,MoonPlains,7C,4,VP,0.37,646.02,1746.0,MP
Pedro,MoonPlains,7A,4,VP,1.6,1889.6000000000001,1181.0,MP
Pedro,MoonPlains,14,10,VP,2.5,2005.0,802.0,MP
Pedro,MoonPlains,15,13,VP,3.75,2317.5,618.0,MP
Pedro,MoonPlains,7NC,24,VP,1.0,2216.0,2216.0,MP
Pedro,MoonPlains,16,35,VP,2.5,4275.0,1710.0,MP
Pedro,MoonPlains,12/27,35,VP,1.0,2518.0,2518.0,MP
Pedro,MoonPlains,19,52,VP,1.5,2965.5,1977.0,MP
Pedro,MoonPlains,18,53,VP,0.75,1794.75,2393.0,MP
Pedro,MoonPlains,5/1,4,SD,4.0,1788.0,447.0,MP
Pedro,MoonPlains,17,5,SD,8.75,1312.5,150.0,MP
Pedro,MoonPlains,7,17,SD,0.97,1497.68,1544.0,MP
Pedro,MoonPlains,5,24,SD,3.0,3885.0,1295.0,MP
Pedro,MoonPlains,6,27,SD,5.62,6114.56,1088.0,MP
Pedro,MoonPlains,6A,39,SD,5.5,6011.5,1093.0,MP
Pedro,MoonPlains,12,51,SD,6.25,6550.0,1048.0,MP
Pedro,MoonPlains,4/1,55,SD,2.0,2204.0,1102.0,MP
Pedro,MoonPlains,4,61,SD,2.25,2574.0,1144.0,MP
Pedro,Scrubs,4A,55,VP,0.5,931.0,1862.0,SC
Pedro,Scrubs,8B,4,SD,3.69,933.5699999999999,253.0,SC
Pedro,Scrubs,9,4,SD,3.0,876.0,292.0,SC
Pedro,Scrubs,1,4,SD,5.69,506.41,89.0,SC
Pedro,Scrubs,11,10,SD,4.84,527.56,109.0,SC
Pedro,Scrubs,7,16,SD,6.48,2689.2000000000003,415.0,SC
Pedro,Scrubs,6,17,SD,5.26,2382.7799999999997,453.0,SC
Pedro,Scrubs,9/1,27,SD,3.07,1983.2199999999998,646.0,SC
Pedro,Scrubs,4,29,SD,5.0,3310.0,662.0,SC
Pedro,Scrubs,3,34,SD,7.0,3801.0,543.0,SC
Pedro,Scrubs,4B,37,SD,4.5,1948.5,433.0,SC
Pedro,Scrubs,2,41,SD,6.5,3354.0,516.0,SC
Pedro,Scrubs,5,50,SD,6.89,4147.78,602.0,SC
Pedro,Scrubs,8A,51,SD,4.0,2244.0,561.0,SC
